iso2c,year,patent_count,benchmark_score_mean,empirical_driven_share,public_funded_share,science_reference_share_mean,ln_forward_citation_10y_plus1_mean,citing_cpc4_count_10y_mean,opens_new_cpc_field_share,years_ahead_cpc_mean
CA,1992,212,0.20680012041582044,0.28773584905660377,0.0,,0.0,0.0,0.0,0.0
DE,1988,2052,0.20971674932163406,0.3001949317738791,0.0,,0.0,0.0,0.0,0.0
NL,1990,170,0.1327027413874799,0.19411764705882353,0.0,,0.0,0.0,0.0,0.0
JP,1985,6041,0.27766812703180405,0.3774209567952326,0.0,,0.0,0.0,0.0,0.0
CA,1991,186,0.26832393667077153,0.3548387096774194,0.0,,0.0,0.0,0.0,0.0
IL,1990,25,0.47658001672199374,0.56,0.0,,0.0,0.0,0.0,0.0
IL,2002,261,0.245049927101373,0.2796934865900383,0.0,,0.0,0.0,0.0,0.0
BM,2012,637,0.19202088311274845,0.2370486656200942,0.0,,0.0,0.0,0.0,0.0
FI,2008,1054,0.05210832412264,0.06546489563567362,0.0,,0.0,0.0,0.0,0.0
TW,2008,1095,0.10702599596559764,0.14885844748858448,0.0,,0.0,0.0,0.0,0.0
CA,2010,1223,0.15144437539025052,0.19950940310711365,0.0008176614881439084,,0.0,0.0,0.0,0.0
IT,2009,291,0.2317843112703931,0.30584192439862545,0.003436426116838488,,0.0,0.0,0.0,0.0
TW,2007,1320,0.10476120959460106,0.14545454545454545,0.0,,0.0,0.0,0.0,0.0
KY,2011,274,0.04874728190792991,0.06569343065693431,0.0036496350364963502,,0.0,0.0,0.0,0.0
SG,2006,256,0.06229533789792707,0.08203125,0.0,,0.0,0.0,0.0,0.0
FR,2011,1666,0.11859588962693761,0.16326530612244897,0.005402160864345739,,0.0,0.0,0.0,0.0
JP,2004,22104,0.19751322754346862,0.26601520086862107,0.00013572204125950055,,0.0,0.0,0.0,0.0
SE,2011,1503,0.09122064546442049,0.12242182302062542,0.0006653359946773121,,0.0,0.0,0.0,0.0
FI,2007,722,0.08078152361887347,0.09418282548476455,0.0,,0.0,0.0,0.0,0.0
JP,2014,21181,0.22567031802337553,0.29989141211463105,9.442424814692413e-05,,0.0,0.0,0.0,0.0
JP,2015,21681,0.24608869476796824,0.322724966560583,4.612333379456667e-05,,0.0,0.0,0.0,0.0
KR,2014,893,0.15355258409541234,0.20604703247480402,0.0,,0.0,0.0,0.0,0.0
KR,2015,999,0.1477740558713751,0.2172172172172172,0.0,,0.0,0.0,0.0,0.0
SE,2013,1846,0.11758064839916348,0.15222101841820151,0.0,,0.0,0.0,0.0,0.0
BR,2013,69,0.20287188509435222,0.2318840579710145,0.0,,0.0,0.0,0.0,0.0
