iso3c,year,patent_count,data_driven_patent_count,data_driven_patent_share,benchmark_score_mean,benchmark_top_decile_share,dictionary_score_mean,metadata_score_mean,text_supervised_score_mean,semantic_lsa_score_mean,data_collection_score_mean,empirical_analysis_score_mean,experimental_validation_score_mean,measurement_instrumentation_score_mean,data_quality_calibration_score_mean,ml_training_data_score_mean,boilerplate_score_mean,claims_weighted_benchmark_score_mean,benchmark_confidence_mean
SGP,2001,325,73,0.2246153846153846,0.1702976522141683,0.1076923076923077,0.013514414216467062,0.2903409308903076,0.25789381932727273,0.482934048114635,0.001210674893191897,0.002421349786383794,0.002390368738004831,0.022786358126584423,0.009706140718573621,0.0,0.006311322456097996,0.17613541646628947,0.8932229978548807
SGP,2003,291,47,0.16151202749140894,0.12431824107649045,0.07903780068728522,0.014991421020041232,0.2994889643121961,0.20934919216249268,0.4782157791981718,0.0,0.00840085614611414,0.0,0.025747894068510815,0.008898276355815216,0.0,0.009914988669460254,0.12713781196234913,0.9161942845881428
USA,1995,36365,9609,0.2642375910903341,0.19460926055730285,0.12118795545167056,0.019340507084293912,0.3066841140489084,0.2852217354516833,0.47423840087281577,0.001467324147388937,0.005611318132439547,0.0022455452048846924,0.03978889439328793,0.007105524515923827,0.001349358639388811,0.008715289061793505,0.20165944162253063,0.8778453791471762
NLD,2001,1072,313,0.29197761194029853,0.2048480325971337,0.11940298507462686,0.01969887201600163,0.29101317398153226,0.2926239148530305,0.4819901897024954,0.0,0.008453957927661649,0.0,0.04519580229738641,0.0061623338357430155,0.00036704229504418525,0.0033815831710646595,0.21116923739693524,0.8587799908217784
CHN,2003,324,58,0.17901234567901234,0.1303510474274893,0.08024691358024691,0.016277831601128306,0.33199357021003817,0.2152762599219961,0.4799614221973077,0.0030298900034298327,0.013543685305590249,0.0,0.022594912159294735,0.0012144115440968105,0.006280876225007173,0.013831383189800223,0.1723628344747415,0.9165523933134135
DEU,1998,3682,1024,0.2781097229766431,0.20054305086916635,0.12438891906572515,0.015806202750418955,0.2984314580434727,0.29643118987324457,0.47920480301457025,0.0011745885153925484,0.0027344093199681923,0.0005343146934918069,0.038304827142001216,0.0031602710202594574,0.001964848551891428,0.0046555929137031046,0.20995318845402447,0.8713493431570639
GBR,2013,2544,629,0.24724842767295596,0.1910108576013789,0.13286163522012578,0.025954436996096154,0.3527434375971822,0.26028056071908073,0.48013676775892705,0.0027467064855647132,0.012171609656514957,0.002260220602863607,0.051002689051195885,0.0066302606963828045,0.0038499626788507527,0.02773848995858266,0.1985089779247425,0.9011694324027721
CHN,2016,2601,434,0.16685890042291426,0.1342643541758906,0.09727028066128413,0.023508826089399488,0.3758871489191289,0.2081110381089799,0.48604805825441955,0.004322625088050927,0.00981244832697494,0.001506846494133059,0.03545657757620622,0.015469793429125219,0.005360832274711782,0.022174466726022257,0.14480814109991885,0.9362871306011427
IND,2017,2856,492,0.1722689075630252,0.13966515128355622,0.10119047619047619,0.02964072069917329,0.4174623319752446,0.19804601257199714,0.4855915371931995,0.009978532698408132,0.01370149165759661,0.006077955996195282,0.03558446094496735,0.011849007502307511,0.01071226853289555,0.03464094202456893,0.13951940014763542,0.935852241681847
KOR,2017,1102,244,0.22141560798548093,0.16303213715947742,0.10344827586206896,0.01637077887364758,0.3137306241738674,0.26043869597152436,0.5025691290523888,0.0,0.0012877125584421878,0.0010711506541398364,0.04383851911114006,0.004193011068009138,0.0005736121223489634,0.01649629071826869,0.1753920884044164,0.8939942895349711
DNK,2017,144,39,0.2708333333333333,0.22715092396699083,0.1527777777777778,0.029246875965326182,0.35993583296429965,0.3088262743556628,0.48479816862211117,0.004389726102976095,0.0,0.0,0.0644793616123679,0.022827688697302277,0.0,0.01639455584530694,0.2374701834128873,0.8869077951230392
NLD,2016,1006,419,0.4165009940357853,0.32557301576776726,0.24055666003976142,0.043586878424083146,0.35250221473924126,0.3873464642993676,0.48781964620955026,0.008672565012536524,0.009917723727975862,0.0003911226046594101,0.10717643388348871,0.011395775639590267,0.0006283504560920056,0.01593606894164266,0.35169830775123784,0.857513014457734
ISR,2012,1789,286,0.15986584684181107,0.12924485650147244,0.09390721073225265,0.024730968906351236,0.36960306316652847,0.18038448763366519,0.47564465352921037,0.0041304586304138705,0.016979219216652606,0.002824244006761226,0.02658497610281685,0.018926032225093443,0.0012330899496802816,0.02774097739758151,0.13337684325913382,0.9452471131445134
SGP,2016,403,86,0.21339950372208435,0.1718972965381461,0.13399503722084366,0.025793972016699605,0.3387090641750159,0.24610604881400402,0.4928407950239834,0.0019527014406320923,0.008819037554417257,0.006658313541092819,0.056211840187674646,0.0035212388074523345,0.0009763507203160461,0.029603265480210323,0.18022827851169515,0.9314766662718872
NLD,2003,1135,306,0.2696035242290749,0.20417563685628337,0.13303964757709252,0.022652979941644016,0.29610210685532995,0.2865849189362479,0.4816469215503617,0.0011554047063114252,0.01085010708271593,0.0,0.04924961049096186,0.006818065249069458,0.0006933380445592362,0.007273626904345576,0.23903944993202603,0.8776612203846963
ISR,1999,418,78,0.18660287081339713,0.15350827264328828,0.11961722488038277,0.02730666200913998,0.3463985680568366,0.20331053096494775,0.4645561325452217,0.0009413142112137956,0.013901716262949792,0.0015122501407381762,0.0464385986976263,0.011496328182400513,0.004907128703903944,0.00773107133754533,0.18111823206561753,0.9392141348925235
IRL,1999,73,10,0.136986301369863,0.13900533246858832,0.1095890410958904,0.026109809507043114,0.3371015925756752,0.21369811413988854,0.4626165430759709,0.0,0.005389990962840638,0.005389990962840638,0.060625735023201614,0.005389990962840638,0.0,0.005389990962840638,0.2903291522551669,0.9589689459851203
SWE,2002,572,162,0.28321678321678323,0.21325804720675587,0.1381118881118881,0.021178256839485238,0.3247765046149724,0.2846291936390219,0.47726647591857124,0.0006878834620408507,0.01809052884276935,0.0,0.03313119835437304,0.009575190893461588,0.0,0.004273862130278348,0.21680132266465335,0.8819519074592403
CHN,2001,210,33,0.15714285714285714,0.12278781224084863,0.08571428571428572,0.017902136877737274,0.32191521923924576,0.21138764942812602,0.4826481673677087,0.0,0.023923708177801328,0.0,0.01914357844884971,0.0,0.008118350866432544,0.008631088474717417,0.1777578986735419,0.9257309444011311
ITA,2004,640,99,0.1546875,0.11945654760132987,0.0734375,0.012315439012979709,0.3057466471711227,0.18660703903331963,0.4744698714815435,0.0,0.007650662185578828,0.001828654968967089,0.022861845700530372,0.003701987767242855,0.0,0.020571505149100507,0.13440946659536585,0.9270496971479651
FRA,2004,1569,271,0.1727214786488209,0.12699667550733382,0.07648183556405354,0.01540805874463904,0.3130442333853217,0.21471505657113232,0.4736138504140558,0.0012970069451257642,0.009107048598825305,0.0011552126065587365,0.02501076464297188,0.007217893003428949,0.0007523314345838749,0.009079691184375828,0.12973824236185985,0.9153121294784432
CZE,2017,126,42,0.3333333333333333,0.2537889344062506,0.19047619047619047,0.05401602619051739,0.4378697903079502,0.31992768808925315,0.4870504369098524,0.03277273919860098,0.039552259722628054,0.0,0.07241713887361853,0.016847609315985248,0.016279204747871815,0.03629805534079141,0.24739435554184552,0.882169747714662
ROU,2016,41,7,0.17073170731707318,0.16710928449954798,0.12195121951219512,0.043263522151045446,0.40919405224027344,0.21951982039926105,0.47348342444959174,0.009596813177740648,0.0,0.0,0.11254471892003387,0.009596813177740648,0.009596813177740648,0.09151545884990293,0.1843144419596243,0.9398031213660965
JPN,2009,22461,6732,0.29971951382396156,0.22295649065172285,0.14104447709362897,0.021344888422758033,0.31148969744134436,0.2966748079933143,0.4922983350578325,0.0016101646845065425,0.009565080620604002,0.00024537348274993655,0.04648666700019645,0.005467619342782323,0.00043491063235624836,0.017804238293715705,0.22410484669799022,0.8698281271042305
CAN,2008,2128,403,0.18937969924812031,0.14410065329746288,0.09351503759398497,0.020113545506510726,0.3361031306914683,0.21354109312688885,0.4750682288879253,0.003772425054467636,0.009937263083309033,0.0025965615707920996,0.029581639449021577,0.013563881903393187,0.0,0.028718147124024356,0.14955379344089684,0.9179082577658998
RUS,2017,98,7,0.07142857142857142,0.06672068912608264,0.05102040816326531,0.006441914969807145,0.3977791401044333,0.10727979344697801,0.4925421145186853,0.0,0.014480196320441743,0.0,0.0,0.004014993268238435,0.0,0.022510182856918613,0.0688004823221899,0.9773540498606541
THA,2017,7,0,0.0,0.01663375478472868,0.0,0.0,0.3227672266843404,0.1405139586613007,0.4711108352416387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250892994529152,0.9667324904305427
GBR,2019,626,135,0.21565495207667731,0.18106630520860623,0.11501597444089456,0.03394623425246325,0.3630138932567816,0.2657235904659559,0.48699544646477066,0.007673885732957635,0.011581652266393978,0.003476116706752165,0.03268791686403591,0.009318536977738347,0.03734583408779322,0.0263759374777632,0.22386655309043496,0.9018171404740267
BEL,2013,476,87,0.18277310924369747,0.1427527607602849,0.09873949579831932,0.015892373048793724,0.3292328246085728,0.2300806909653404,0.47756953449197836,0.0056371856240764835,0.004634449411718537,0.0020775021081129363,0.03164593028013553,0.0008266162611079129,0.0020374004549951292,0.00874637769052877,0.15889528624530921,0.9199128681023747
BEL,2019,80,13,0.1625,0.11333573971190689,0.0625,0.021306303528271096,0.31441702912139313,0.23741297269339143,0.4833514563005534,0.017738240492541135,0.0,0.0,0.04124056268199299,0.0,0.004918366753592082,0.0,0.12989301962826502,0.9000230659203485
GBR,2005,1835,356,0.19400544959128066,0.14587586864812327,0.09264305177111716,0.0211388766570796,0.32588748802434503,0.22164682833138816,0.47655993077716635,0.0019721798903405744,0.013803749808904267,0.001803440793069538,0.03706833626325413,0.005523570742010014,0.001625541013531114,0.015977208193726597,0.15715788849058387,0.9115760830821914
FIN,2006,636,85,0.13364779874213836,0.11577534064408423,0.09119496855345911,0.019602386198865517,0.35436277435265084,0.16539942509057068,0.4653023337117454,0.0014432625807800333,0.010877665272538355,0.0012373249694571276,0.03861514482310139,0.0044624504383751285,0.0015548600683360971,0.03270460763557742,0.11024119959759916,0.9549577659225916
BEL,2005,327,41,0.12538226299694188,0.08974402278891293,0.05198776758409786,0.008398586107004972,0.32863164892673385,0.17444116422889105,0.47217176372490804,0.0,0.0036098104613519868,0.0,0.015208352825178732,0.0043396307015391156,0.0,0.01675340746744234,0.09969911223159288,0.9316411078597455
HUN,2007,54,7,0.12962962962962962,0.07646988467607396,0.037037037037037035,0.008299628081644288,0.3507974055082665,0.13809341447713314,0.4582615697084722,0.01844283756595437,0.0,0.007286469264580863,0.0,0.0,0.0,0.05697721661755134,0.09760942856994222,0.9207825214932496
ESP,2004,102,22,0.21568627450980393,0.13146488253389801,0.06862745098039216,0.022007284527627943,0.29857545509362116,0.22012526684679729,0.4753376874655352,0.0,0.0,0.003857542551836927,0.0456007942071409,0.017671173911446025,0.0,0.003857542551836927,0.14788075704536263,0.8869780339169185
IRL,2012,280,64,0.22857142857142856,0.18024477614990875,0.125,0.03447106802044898,0.38407498574350474,0.22685189173505232,0.4768021289053757,0.007325642136542316,0.021327951361314466,0.001405247643883452,0.0680180988333879,0.008673118704248896,0.0,0.02429525214195515,0.19680863721770916,0.9159003796891529
AUS,2008,283,56,0.1978798586572438,0.143230822853901,0.08833922261484099,0.0164483636958199,0.3398066370234207,0.21996311390899362,0.4771868867292924,0.003623992576381358,0.01710574859404477,0.0,0.027136345974329037,0.002233641550630946,0.001390351025750412,0.021080337525297484,0.2020035034795992,0.9087577356053612
HUN,2011,80,16,0.2,0.14133469000032456,0.0875,0.035220819433138255,0.39090718106407496,0.17666504335785554,0.4545570425637845,0.0,0.023628182698491394,0.0,0.04493885372287682,0.025639747477898107,0.012819873738949054,0.09313871129667944,0.15718679781035372,0.908704290867188
BRA,2008,100,31,0.31,0.22476851216545513,0.14,0.022106558759938815,0.30540175396049957,0.30721201218812183,0.4805264404481727,0.0,0.003934693402873665,0.0,0.054307455614849995,0.008646647167633872,0.0,0.006321205588285576,0.24916892690745268,0.8652043387746321
AUT,2009,264,64,0.24242424242424243,0.1957685600535376,0.14772727272727273,0.026217841773367466,0.32700925782727613,0.28197993884010364,0.47679172995520747,0.0014904141677551765,0.0,0.0,0.0748147105935982,0.0038848102239239556,0.0,0.0053752243916791315,0.1851962780961801,0.9159860401309231
