iso3c,year,patent_count,data_driven_patent_count,data_driven_patent_share,benchmark_score_mean,benchmark_top_decile_share,dictionary_score_mean,metadata_score_mean,text_supervised_score_mean,semantic_lsa_score_mean,data_collection_score_mean,empirical_analysis_score_mean,experimental_validation_score_mean,measurement_instrumentation_score_mean,data_quality_calibration_score_mean,ml_training_data_score_mean,boilerplate_score_mean,claims_weighted_benchmark_score_mean,benchmark_confidence_mean
NLD,2011,995,305,0.3065326633165829,0.2278087208319495,0.14974874371859295,0.024812838653370858,0.30819504046560353,0.3061924461750146,0.4824748624815574,0.0010307436172019339,0.006940290728327339,0.0010307436172019339,0.0588212050250213,0.007980099216042752,0.0,0.00609406958522027,0.25550221524638306,0.8685266597931546
CHN,2011,897,185,0.20624303232998886,0.1578007633160536,0.10925306577480491,0.025651731048075863,0.3440259882733635,0.22467085510992285,0.4848078641817948,0.002425918682750117,0.015370601672967003,0.0008773006472405051,0.03893643223269718,0.011038088383306338,0.007430895511653554,0.015190779298405623,0.17245742387539142,0.9180292790995498
SGP,2011,327,40,0.12232415902140673,0.08189034802502083,0.039755351681957186,0.009371162623317527,0.30351725072021846,0.18259762820653172,0.48052353479015975,0.0012032701537839957,0.002375748745723456,0.0,0.013523690300281398,0.009809620850608993,0.0,0.0071888293608594386,0.08813757426155266,0.9334074793769584
ROU,2011,9,3,0.3333333333333333,0.35024185174167877,0.3333333333333333,0.08790662301568107,0.4745726416112885,0.44678249547029203,0.4866670622999043,0.0,0.0,0.0,0.28706750405750053,0.0,0.0,0.0,0.29818975189380903,0.9649532537341167
AUS,1999,105,35,0.3333333333333333,0.2139924927512246,0.13333333333333333,0.0176066832502734,0.3045483611699361,0.31494627899685523,0.48083009432523205,0.0,0.011982229114769085,0.0,0.02831237065815649,0.006020195798367216,0.008234902064413213,0.009767522848723087,0.21597986289052806,0.8569858467834615
CAN,1999,803,187,0.2328767123287671,0.17860637678168928,0.10585305105853052,0.013887928078418701,0.3046236024131041,0.2607997585767759,0.4731608844257038,0.0007871987033979547,0.001469997535320174,0.001469997535320174,0.03067256495818457,0.007021088883452758,0.0,0.007894551480845018,0.1948339950591391,0.8906346579516363
BRA,1999,24,9,0.375,0.29155062764131395,0.20833333333333334,0.03018285589765245,0.29513685877435963,0.3685009883232255,0.4894829783962602,0.01639455584530694,0.0,0.0,0.08113370916627112,0.0,0.0,0.0,0.2708951144796481,0.861586973762237
MYS,1999,14,2,0.14285714285714285,0.10495489751192347,0.07142857142857142,0.0,0.29049166395267767,0.25791153135702766,0.48186760866090494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08895623867094142,0.9164200946163011
CMR,1999,11,4,0.36363636363636365,0.2685364160221357,0.09090909090909091,0.01907205915573642,0.26014837857642603,0.3133954384270599,0.4829539846965064,0.0,0.0,0.0,0.0574655053480507,0.0,0.0,0.0,0.17174711218754427,0.8809580696477674
EST,2005,3,1,0.3333333333333333,0.33425074245662806,0.3333333333333333,0.047273435670712814,0.35817226509181266,0.3773792564528246,0.4813828542891702,0.0,0.0,0.0,0.13115644676245553,0.0,0.0,0.0,0.5243266857139468,0.9817252139495597
NOR,2006,70,31,0.44285714285714284,0.35216310962377617,0.2857142857142857,0.0638082358691228,0.3501626312494406,0.4060637030020202,0.4754893245741772,0.0,0.02589326542415225,0.005620990575533808,0.13469603759418652,0.028505607367051513,0.0,0.03833286224372009,0.3869208613258032,0.8617546265810317
UGA,2006,2,1,0.5,0.1349444642554795,0.0,0.0,0.3025534099501076,0.3905031681815171,0.4991928840892482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1449856610781073,0.730111071489041
EST,2019,11,3,0.2727272727272727,0.10619759052475536,0.0,0.0,0.4314152878517628,0.18695677302081162,0.48992649950534034,0.0,0.0,0.0,0.0,0.0,0.0,0.035769940026124235,0.08710845818582312,0.8727199191691866
KEN,2019,13,3,0.23076923076923078,0.23774669118316566,0.23076923076923078,0.06757427565084276,0.511178525297889,0.29107354210949554,0.4913706579249233,0.0,0.0,0.03026687232979743,0.15778306140244988,0.0,0.0,0.0,0.29327472064085114,0.9830257062890702
GBR,1989,892,234,0.2623318385650224,0.18645457396112858,0.10762331838565023,0.01320478801377942,0.2889444960271984,0.3031839760032974,0.480189560770908,0.00044110912588269795,0.0013233273776480938,0.0,0.03676045464533001,0.0014104641895187826,0.0,0.0021942576913830383,0.1904777965011627,0.866616753865926
BEL,1989,126,30,0.23809523809523808,0.15590893234475756,0.07142857142857142,0.004810259204112283,0.2773759298628171,0.2759895412780908,0.4766288580048395,0.0,0.0,0.0050168298319726795,0.008139602373935908,0.0,0.0,0.0,0.19582920071488763,0.8483947878635457
RUS,1990,2,2,1.0,0.5791571343703855,0.5,0.0,0.2671405621817478,0.5791312518745965,0.5077363473694453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6845423900342028,0.702568371092115
KOR,1990,4,0,0.0,0.0016791668845441065,0.0,0.0,0.25465239259596484,0.04672039287028913,0.47497245422647333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015937358056255005,0.9966416662309117
