iso3c,n_patents,benchmark_mean,benchmark_share
USA,1902986,0.18435386529183728,0.24782683635087174
JPN,614848,0.2225759115529577,0.2994528729051733
DEU,124882,0.20054461086842632,0.26915808523245943
FRA,45318,0.1452842089565084,0.20654044750430292
NLD,37352,0.2864669072971892,0.36530841721996143
TWN,37207,0.10193990076884653,0.13470583492353588
SWE,30648,0.1368369377608862,0.18082746019316107
CAN,28288,0.17147466254172553,0.23140554298642535
GBR,24211,0.17059075114475297,0.2279542356779976
CHE,21652,0.19470441952935197,0.26334749676704233
FIN,18307,0.09611103593608648,0.12110121811329
KOR,15117,0.1464389568784856,0.21373288350863268
ITA,10377,0.17723407584532427,0.23455719379396742
ISR,8021,0.1796042496317389,0.22752773968333126
CYM,7625,0.07578974840124525,0.09704918032786886
BMU,6395,0.16929250807446392,0.20562939796716184
SGP,6331,0.16647877611485834,0.20881377349549834
CHN,5308,0.11885138261513377,0.1699321778447626
IRL,3635,0.1995607268626165,0.259697386519945
BRB,3066,0.1349578166481163,0.17775603392041747
DNK,2834,0.16166022774118002,0.22159491884262528
AUS,2769,0.22353411575466478,0.29721921271217044
BEL,2643,0.1302031295430834,0.18161180476730987
AUT,2308,0.11129787721845283,0.14904679376083188
IND,1714,0.11784696650999421,0.14819136522753792
NOR,1093,0.23874131552671357,0.33394327538883806
LUX,927,0.26297921417553893,0.3344120819848975
BRA,887,0.21099947488201104,0.2976324689966178
SSD,638,0.2722466241583145,0.39184952978056425
ESP,518,0.17641658610395544,0.25868725868725867
NZL,194,0.08800107707575004,0.10824742268041238
MEX,105,0.09986254307821771,0.12380952380952381
MYS,90,0.1357896102563411,0.2222222222222222
MLT,88,0.2626045784849709,0.3181818181818182
CMR,78,0.10296012780987382,0.15384615384615385
CZE,77,0.24357943785634306,0.3246753246753247
ZAF,75,0.12207895222665636,0.18666666666666668
GIB,70,0.2073748689688603,0.35714285714285715
PHL,63,0.11219037551599002,0.19047619047619047
RUS,48,0.08922791492821479,0.08333333333333333
ARE,48,0.15922611288049646,0.20833333333333334
SAU,46,0.44710199327321337,0.6086956521739131
HUN,40,0.25798373699823024,0.375
KNA,39,0.18275557214844168,0.20512820512820512
PAN,35,0.19012578088186083,0.3142857142857143
PER,33,0.14038454629453054,0.2727272727272727
MCO,29,0.10089794047738167,0.10344827586206896
LIE,28,0.18433010095935407,0.35714285714285715
VGB,28,0.27845533407179923,0.39285714285714285
LTU,24,0.09066795545189643,0.20833333333333334
EGY,23,0.2389701611270941,0.30434782608695654
BHS,17,0.07292455643260765,0.11764705882352941
JEY,17,0.35951770195621047,0.47058823529411764
ARG,16,0.08365965198035441,0.125
PRK,16,0.31185773161317687,0.4375
POL,14,0.322205696162246,0.42857142857142855
CYP,13,0.23376350389277784,0.38461538461538464
BRN,13,0.1385351161237957,0.15384615384615385
TCD,12,0.3026670487097999,0.5833333333333334
TUR,11,0.1821961888684756,0.2727272727272727
SVK,10,0.15619148770883476,0.2
BGR,9,0.020576946096111947,0.0
VNM,8,0.27257023771654515,0.375
ISL,7,0.017477025934907502,0.0
COL,7,0.12770452599226445,0.14285714285714285
IDN,7,0.18692327477798013,0.42857142857142855
CRI,7,0.049796555859752456,0.14285714285714285
HRV,7,0.04620466007123574,0.14285714285714285
TTO,7,0.1891168683557422,0.2857142857142857
EST,7,0.21376480244540108,0.2857142857142857
IMN,6,0.20771930120376836,0.16666666666666666
CHL,5,0.019634931970232125,0.0
MAR,5,0.00786148211792238,0.0
SYC,5,0.05042405912553949,0.0
JOR,5,0.37087064776361217,0.6
SVN,5,0.046139635212821294,0.0
BLZ,4,0.03734716137368288,0.0
CUB,4,0.0011905439864825687,0.0
PRT,4,0.49231168277276977,0.5
MUS,3,0.001866536872390785,0.0
BIH,3,0.3783756783466657,0.3333333333333333
NGA,2,0.015532443003203047,0.0
THA,2,0.013545996762629868,0.0
LAO,2,0.0121600500378276,0.0
NPL,2,0.885661337596185,1.0
TCA,2,0.4739921862177806,0.5
LKA,2,0.14344341567054242,0.5
GEO,2,0.0025440564878963564,0.0
ATG,2,0.005024986275106538,0.0
MWI,1,0.010249172678243473,0.0
MMR,1,0.0025355559244398104,0.0
UKR,1,0.9822547716331242,1.0
KWT,1,0.0009203495306222419,0.0
ECU,1,0.14739052326945737,0.0
SLV,1,0.06341431199106985,0.0
GRC,1,0.6390100106023159,1.0
JAM,1,0.019218785746225025,0.0
SMR,1,0.9992064779402277,1.0
LBR,1,0.00351060559575689,0.0
QAT,1,0.016423250646579474,0.0
DZA,1,0.018962983074433344,0.0
IRN,1,0.02836181165680186,0.0
VEN,1,0.03305162274713659,0.0
