sic_key,naics6,naics2,naics3,naics4
1011,212210,21,212,2122
1021,212234,21,212,2122
1031,212231,21,212,2122
1041,212221,21,212,2122
1044,212222,21,212,2122
1061,212234,21,212,2122
1061,212299,21,212,2122
1081,213114,21,213,2131
1081,238910,23,238,2389
1081,541360,54,541,5413
1094,212291,21,212,2122
1099,212299,21,212,2122
111,111140,11,111,1111
112,111160,11,111,1111
115,111150,11,111,1111
116,111110,11,111,1111
119,111120,11,111,1111
119,111130,11,111,1111
119,111150,11,111,1111
119,111191,11,111,1111
119,111199,11,111,1111
1221,212111,21,212,2121
1222,212112,21,212,2121
1231,212113,21,212,2121
1241,213113,21,213,2131
1241,238910,23,238,2389
131,111920,11,111,1119
1311,211111,21,211,2111
132,111910,11,111,1119
1321,211112,21,211,2111
133,111930,11,111,1119
133,111991,11,111,1119
134,111211,11,111,1112
1381,213111,21,213,2131
1382,213112,21,213,2131
1382,541360,54,541,5413
1389,213112,21,213,2131
1389,237120,23,237,2371
1389,238910,23,238,2389
139,111199,11,111,1111
139,111219,11,111,1112
139,111940,11,111,1119
139,111992,11,111,1119
139,111998,11,111,1119
1411,212311,21,212,2123
1422,212312,21,212,2123
1423,212313,21,212,2123
1429,212319,21,212,2123
1442,212321,21,212,2123
1446,212322,21,212,2123
1455,212324,21,212,2123
1459,212325,21,212,2123
1474,212391,21,212,2123
1475,212392,21,212,2123
1479,212393,21,212,2123
1481,213115,21,213,2131
1481,238910,23,238,2389
1481,541360,54,541,5413
1499,212319,21,212,2123
1499,212399,21,212,2123
1521,236115,23,236,2361
1521,236118,23,236,2361
1522,236116,23,236,2361
1522,236118,23,236,2361
1522,236220,23,236,2362
1531,236117,23,236,2361
1531,236118,23,236,2361
1531,236210,23,236,2362
1531,236220,23,236,2362
1541,236210,23,236,2362
1541,236220,23,236,2362
1542,236220,23,236,2362
161,111219,11,111,1112
1611,237310,23,237,2373
1622,237310,23,237,2373
1622,237990,23,237,2379
1623,237110,23,237,2371
1623,237120,23,237,2371
1623,237130,23,237,2371
1629,236210,23,236,2362
1629,237110,23,237,2371
1629,237120,23,237,2371
1629,237130,23,237,2371
1629,237990,23,237,2379
1629,238910,23,238,2389
171,111333,11,111,1113
171,111334,11,111,1113
1711,238210,23,238,2382
1711,238220,23,238,2382
1711,238910,23,238,2389
172,111332,11,111,1113
1721,237310,23,237,2373
1721,238320,23,238,2383
173,111335,11,111,1113
1731,238210,23,238,2382
174,111310,11,111,1113
174,111320,11,111,1113
1741,238140,23,238,2381
1742,238310,23,238,2383
1743,238310,23,238,2383
1743,238340,23,238,2383
175,111331,11,111,1113
175,111339,11,111,1113
1751,238130,23,238,2381
1751,238350,23,238,2383
1752,238330,23,238,2383
1761,238160,23,238,2381
1761,238170,23,238,2381
1761,238390,23,238,2383
1771,238110,23,238,2381
1771,238140,23,238,2381
1771,238990,23,238,2389
1781,237110,23,237,2371
179,111336,11,111,1113
179,111339,11,111,1113
1791,238120,23,238,2381
1791,238190,23,238,2381
1791,238220,23,238,2382
1793,238150,23,238,2381
1794,238910,23,238,2389
1795,238910,23,238,2389
1796,238220,23,238,2382
1796,238290,23,238,2382
1799,236220,23,236,2362
1799,237990,23,237,2379
1799,238150,23,238,2381
1799,238190,23,238,2381
1799,238290,23,238,2382
1799,238320,23,238,2383
1799,238350,23,238,2383
1799,238390,23,238,2383
1799,238910,23,238,2389
1799,238990,23,238,2389
1799,561790,56,561,5617
1799,562910,56,562,5629
181,111421,11,111,1114
181,111422,11,111,1114
182,111411,11,111,1114
182,111419,11,111,1114
191,111998,11,111,1119
2011,311611,31,311,3116
2013,311612,31,311,3116
2013,311613,31,311,3116
2015,311615,31,311,3116
2015,311999,31,311,3119
2021,311512,31,311,3115
2022,311513,31,311,3115
2023,311511,31,311,3115
2023,311514,31,311,3115
2024,311520,31,311,3115
2026,311511,31,311,3115
2026,311514,31,311,3115
2032,311422,31,311,3114
2032,311999,31,311,3119
2033,311421,31,311,3114
2034,311211,31,311,3112
2034,311423,31,311,3114
2034,311999,31,311,3119
2035,311421,31,311,3114
2035,311941,31,311,3119
2037,311411,31,311,3114
2038,311412,31,311,3114
2041,311211,31,311,3112
2043,311230,31,311,3112
2043,311920,31,311,3119
2044,311212,31,311,3112
2045,311822,31,311,3118
2046,311221,31,311,3112
2046,311225,31,311,3112
2047,311111,31,311,3111
2048,311119,31,311,3111
2048,311611,31,311,3116
2051,311812,31,311,3118
2052,311812,31,311,3118
2052,311821,31,311,3118
2052,311919,31,311,3119
2053,311813,31,311,3118
2061,311311,31,311,3113
2062,311312,31,311,3113
2063,311313,31,311,3113
2064,311330,31,311,3113
2064,311340,31,311,3113
2066,311320,31,311,3113
2066,311330,31,311,3113
2067,311340,31,311,3113
2068,311911,31,311,3119
2074,311223,31,311,3112
2074,311225,31,311,3112
2075,311222,31,311,3112
2075,311225,31,311,3112
2076,311223,31,311,3112
2076,311225,31,311,3112
2077,311613,31,311,3116
2077,311711,31,311,3117
2077,311712,31,311,3117
2079,311222,31,311,3112
2079,311223,31,311,3112
2079,311225,31,311,3112
2082,311942,31,311,3119
2082,312120,31,312,3121
2083,311213,31,311,3112
2084,312130,31,312,3121
2085,312130,31,312,3121
2085,312140,31,312,3121
2086,312111,31,312,3121
2086,312112,31,312,3121
2087,311920,31,311,3119
2087,311930,31,311,3119
2087,311942,31,311,3119
2087,311999,31,311,3119
2091,311711,31,311,3117
2092,311712,31,311,3117
2095,311920,31,311,3119
2096,311919,31,311,3119
2097,312113,31,312,3121
2098,311823,31,311,3118
2099,111998,11,111,1119
2099,311212,31,311,3112
2099,311340,31,311,3113
2099,311423,31,311,3114
2099,311823,31,311,3118
2099,311830,31,311,3118
2099,311911,31,311,3119
2099,311920,31,311,3119
2099,311941,31,311,3119
2099,311942,31,311,3119
2099,311991,31,311,3119
2099,311999,31,311,3119
211,112112,11,112,1121
