Country,n_measures
CHINA,119
INDIA,78
RUSSIA,65
INDONESIA,64
VIETNAM,61
TURKEY,53
KOREA,53
BRAZIL,51
ARGENTINA,49
GERMANY,46
UNITED STATES,44
FRANCE,40
EUROPEAN UNION,39
MALAYSIA,37
SOUTH AFRICA,35
THAILAND,34
TAIWAN,32
CANADA,32
PAKISTAN,31
PHILIPPINES,30
JAPAN,30
COLOMBIA,29
MEXICO,28
AUSTRALIA,27
SINGAPORE,27
ITALY,27
ECUADOR,27
ISRAEL,26
SWITZERLAND,26
NIGERIA,25
PARAGUAY,21
ROMANIA,21
GREECE,21
FINLAND,21
COSTA RICA,20
UNITED KINGDOM,20
BRUNEI,20
HUNGARY,19
SPAIN,19
SWEDEN,18
SLOVAKIA,18
PERU,18
AUSTRIA,18
DENMARK,18
CHILE,18
POLAND,17
PANAMA,17
BELGIUM,16
NORWAY,16
PORTUGAL,15
HONG KONG,15
NETHERLANDS,15
ESTONIA,14
LITHUANIA,14
SLOVENIA,14
CZECH REPUBLIC,14
NEW ZEALAND,13
BULGARIA,13
ICELAND,12
LUXEMBOURG,12
CROATIA,11
IRELAND,10
CYPRUS,10
LATVIA,9
MALTA,8
0,1
