iso2c,law_domain,law_domain_slug,status_code,status_label,source_date_text
AD,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
AD,Cybercrime,cybercrime,1,legislation,17/02/2026
AD,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AD,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AD,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AE,Consumer Protection,consumer_protection,1,legislation,17/02/2026
AE,Cybercrime,cybercrime,1,legislation,17/02/2026
AE,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AE,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AE,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AF,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
AF,Cybercrime,cybercrime,1,legislation,17/02/2026
AF,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AF,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
AF,Privacy and Data Protection,privacy_and_data_protection,3,no_legislation,17/02/2026
AG,Consumer Protection,consumer_protection,1,legislation,17/02/2026
AG,Cybercrime,cybercrime,1,legislation,17/02/2026
AG,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AG,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
AG,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AL,Consumer Protection,consumer_protection,1,legislation,17/02/2026
AL,Cybercrime,cybercrime,1,legislation,17/02/2026
AL,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AL,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AL,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AM,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
AM,Cybercrime,cybercrime,1,legislation,17/02/2026
AM,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AM,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AM,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AO,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
AO,Cybercrime,cybercrime,1,legislation,17/02/2026
AO,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AO,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AO,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AR,Consumer Protection,consumer_protection,1,legislation,17/02/2026
AR,Cybercrime,cybercrime,1,legislation,17/02/2026
AR,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AR,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AR,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AT,Consumer Protection,consumer_protection,1,legislation,17/02/2026
AT,Cybercrime,cybercrime,1,legislation,17/02/2026
AT,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AT,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AT,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AU,Consumer Protection,consumer_protection,1,legislation,17/02/2026
AU,Cybercrime,cybercrime,1,legislation,17/02/2026
AU,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AU,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AU,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
AZ,Consumer Protection,consumer_protection,1,legislation,17/02/2026
AZ,Cybercrime,cybercrime,1,legislation,17/02/2026
AZ,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
AZ,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
AZ,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BA,Consumer Protection,consumer_protection,0,no_data,17/02/2026
BA,Cybercrime,cybercrime,1,legislation,17/02/2026
BA,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BA,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
BA,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BB,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
BB,Cybercrime,cybercrime,1,legislation,17/02/2026
BB,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BB,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BB,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BD,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BD,Cybercrime,cybercrime,1,legislation,17/02/2026
BD,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BD,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BD,Privacy and Data Protection,privacy_and_data_protection,2,draft_legislation,17/02/2026
BE,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BE,Cybercrime,cybercrime,1,legislation,17/02/2026
BE,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BE,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BE,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BF,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
BF,Cybercrime,cybercrime,1,legislation,17/02/2026
BF,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BF,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
BF,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BG,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BG,Cybercrime,cybercrime,1,legislation,17/02/2026
BG,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BG,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BG,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BH,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BH,Cybercrime,cybercrime,1,legislation,17/02/2026
BH,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BH,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BH,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BI,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
BI,Cybercrime,cybercrime,1,legislation,17/02/2026
BI,Electronic Transactions,electronic_transactions,2,draft_legislation,17/02/2026
BI,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
BI,Privacy and Data Protection,privacy_and_data_protection,3,no_legislation,17/02/2026
BJ,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BJ,Cybercrime,cybercrime,1,legislation,17/02/2026
BJ,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BJ,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BJ,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BN,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BN,Cybercrime,cybercrime,1,legislation,17/02/2026
BN,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BN,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
BN,Privacy and Data Protection,privacy_and_data_protection,3,no_legislation,17/02/2026
BO,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
BO,Cybercrime,cybercrime,3,no_legislation,17/02/2026
BO,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BO,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BO,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BR,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BR,Cybercrime,cybercrime,1,legislation,17/02/2026
BR,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BR,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BR,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BS,Consumer Protection,consumer_protection,2,draft_legislation,17/02/2026
BS,Cybercrime,cybercrime,1,legislation,17/02/2026
BS,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BS,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BS,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BT,Consumer Protection,consumer_protection,0,no_data,17/02/2026
BT,Cybercrime,cybercrime,1,legislation,17/02/2026
BT,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BT,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BT,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BW,Consumer Protection,consumer_protection,0,no_data,17/02/2026
BW,Cybercrime,cybercrime,1,legislation,17/02/2026
BW,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BW,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
BW,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BY,Consumer Protection,consumer_protection,1,legislation,17/02/2026
BY,Cybercrime,cybercrime,1,legislation,17/02/2026
BY,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BY,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
BY,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
BZ,Consumer Protection,consumer_protection,0,no_data,17/02/2026
BZ,Cybercrime,cybercrime,1,legislation,17/02/2026
BZ,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
BZ,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
BZ,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
CA,Consumer Protection,consumer_protection,1,legislation,17/02/2026
CA,Cybercrime,cybercrime,1,legislation,17/02/2026
CA,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
CA,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
CA,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
CD,Consumer Protection,consumer_protection,1,legislation,17/02/2026
CD,Cybercrime,cybercrime,1,legislation,17/02/2026
CD,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
CD,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
CD,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
CF,Consumer Protection,consumer_protection,0,no_data,17/02/2026
CF,Cybercrime,cybercrime,3,no_legislation,17/02/2026
CF,Electronic Transactions,electronic_transactions,3,no_legislation,17/02/2026
CF,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
CF,Privacy and Data Protection,privacy_and_data_protection,3,no_legislation,17/02/2026
CG,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
CG,Cybercrime,cybercrime,1,legislation,17/02/2026
CG,Electronic Transactions,electronic_transactions,3,no_legislation,17/02/2026
CG,Indirect Taxation,indirect_taxation,3,no_legislation,17/02/2026
CG,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
CH,Consumer Protection,consumer_protection,3,no_legislation,17/02/2026
CH,Cybercrime,cybercrime,1,legislation,17/02/2026
CH,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
CH,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
CH,Privacy and Data Protection,privacy_and_data_protection,1,legislation,17/02/2026
CI,Consumer Protection,consumer_protection,1,legislation,17/02/2026
CI,Cybercrime,cybercrime,1,legislation,17/02/2026
CI,Electronic Transactions,electronic_transactions,1,legislation,17/02/2026
CI,Indirect Taxation,indirect_taxation,1,legislation,17/02/2026
