gvkey,year,patents_applied,patents_granted,private_subsidiary_patents,distinct_assignee_names,private_subsidiary_share,cik,link_method,link_score,link_conflict,candidate_count,ticker_hint,revenue,sales_marketing_expense,sga_expense,rd_expense,capex,employees,sales_marketing_to_revenue,sga_to_revenue,rd_to_revenue,capex_to_revenue,kw_sales_force,kw_customer_service,kw_brand,kw_advertising,kw_customer_data,customer_capital_keyword_total,sic,sic_description,state_of_incorporation,fiscal_year_end,entity_type,name_sec,ticker_sec,naics2_proxy
001013,1998,2,2,2,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,1999,6,6,6,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2000,3,3,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2001,6,6,6,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2002,4,4,4,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2003,3,3,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2004,2,2,2,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2005,4,4,4,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2006,4,4,4,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2007,3,3,3,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2008,2,2,2,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001013,2010,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001021,1997,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001021,1998,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001021,2000,2,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001021,2001,3,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001021,2005,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001036,1997,5,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001036,1998,8,8,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001036,1999,4,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001036,2000,5,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,1997,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2000,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2001,6,6,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2002,4,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2003,3,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2004,9,9,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2005,17,17,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2006,4,4,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2007,4,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2008,4,4,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2009,12,12,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001045,2010,11,11,1,3,0.09090909090909091,0000084246,fuzzy_name,0.9,False,2.0,,583424000.0,,,,2841000.0,,,,,0.0048695288503729705,,,,,,,6331,"Fire, Marine & Casualty Insurance",DE,1231,operating,RLI CORP,RLI,52
