gvkey,year,patents_applied,patents_granted,private_subsidiary_patents,distinct_assignee_names,private_subsidiary_share
001013,1998,2,2,2,1,1.0
001013,1999,6,6,6,2,1.0
001013,2000,3,3,3,3,1.0
001013,2001,6,6,6,3,1.0
001013,2002,4,4,4,1,1.0
001013,2003,3,3,3,3,1.0
001013,2004,2,2,2,1,1.0
001013,2005,4,4,4,1,1.0
001013,2006,4,4,4,2,1.0
001013,2007,3,3,3,1,1.0
001013,2008,2,2,2,1,1.0
001013,2010,1,1,1,1,1.0
001021,1997,1,1,0,1,0.0
001021,1998,1,1,0,1,0.0
001021,2000,2,2,0,1,0.0
001021,2001,3,3,0,1,0.0
001021,2005,1,1,0,1,0.0
001036,1997,5,5,0,1,0.0
001036,1998,8,8,0,1,0.0
001036,1999,4,4,0,1,0.0
001036,2000,5,5,0,1,0.0
001045,1997,1,1,0,1,0.0
001045,2000,1,1,0,1,0.0
001045,2001,6,6,0,2,0.0
001045,2002,4,4,0,1,0.0
001045,2003,3,3,0,2,0.0
001045,2004,9,9,0,2,0.0
001045,2005,17,17,0,3,0.0
001045,2006,4,4,0,2,0.0
001045,2007,4,4,0,1,0.0
001045,2008,4,4,0,2,0.0
001045,2009,12,12,0,2,0.0
001045,2010,11,11,1,3,0.09090909090909091
001045,2011,7,7,0,3,0.0
001045,2012,4,4,0,1,0.0
001045,2013,10,10,0,1,0.0
001045,2014,6,6,0,1,0.0
001045,2015,1,1,0,1,0.0
001045,2016,6,6,0,2,0.0
001045,2017,7,7,0,1,0.0
001045,2018,3,3,0,1,0.0
001045,2019,2,2,0,1,0.0
001048,1999,1,1,0,1,0.0
001048,2000,1,1,0,1,0.0
001050,2015,1,1,0,1,0.0
001050,2016,3,3,1,3,0.3333333333333333
001050,2018,1,1,0,1,0.0
001056,2004,1,1,0,1,0.0
001072,1997,6,6,1,2,0.16666666666666666
001072,1998,5,5,1,2,0.2
001072,1999,8,8,0,1,0.0
001072,2000,8,8,0,1,0.0
001072,2001,8,8,0,1,0.0
001072,2002,14,14,1,2,0.07142857142857142
001072,2003,9,9,0,1,0.0
001072,2004,11,11,0,1,0.0
001072,2005,8,8,2,2,0.25
001072,2006,19,19,0,1,0.0
001072,2007,13,13,0,1,0.0
001072,2008,18,18,0,2,0.0
001072,2009,20,20,0,1,0.0
001072,2010,20,20,0,1,0.0
001072,2011,21,21,0,2,0.0
001072,2012,15,15,0,1,0.0
001072,2013,27,27,0,2,0.0
001072,2014,24,24,0,2,0.0
001072,2015,20,20,0,1,0.0
001072,2016,26,26,0,1,0.0
001072,2017,22,22,0,2,0.0
001072,2018,23,23,0,1,0.0
001075,1999,1,1,0,1,0.0
001075,2001,4,4,0,1,0.0
001075,2002,4,4,0,1,0.0
001075,2003,3,3,0,1,0.0
001075,2004,3,3,0,1,0.0
001078,1997,166,166,3,3,0.018072289156626505
001078,1998,136,136,0,1,0.0
001078,1999,140,140,1,2,0.007142857142857143
001078,2000,131,131,1,2,0.007633587786259542
001078,2001,125,125,1,2,0.008
001078,2002,112,112,1,2,0.008928571428571428
001078,2003,154,154,12,5,0.07792207792207792
001078,2004,133,133,2,2,0.015037593984962405
001078,2005,140,140,10,4,0.07142857142857142
001078,2006,333,333,113,7,0.33933933933933935
001078,2007,378,378,58,7,0.15343915343915343
001078,2008,375,375,63,7,0.168
001078,2009,406,406,65,11,0.16009852216748768
001078,2010,434,434,125,14,0.2880184331797235
001078,2011,392,392,102,14,0.2602040816326531
001078,2012,383,383,92,11,0.2402088772845953
001078,2013,377,377,77,8,0.20424403183023873
001078,2014,310,310,69,10,0.22258064516129034
001078,2015,350,350,83,9,0.23714285714285716
001078,2016,365,365,57,11,0.15616438356164383
001078,2017,275,275,44,12,0.16
001078,2018,134,134,19,9,0.1417910447761194
001078,2019,36,36,9,5,0.25
001078,2020,11,11,1,3,0.09090909090909091
001081,1998,1,1,0,1,0.0
001084,2000,1,1,0,1,0.0
001084,2001,1,1,0,1,0.0
001084,2006,1,1,0,1,0.0
