Variable,N,Mean,SD,P10,P25,Median,P75,P90,Min,Max
Total patents,1813,1637.55,7725.198,1.0,2.0,21.0,292.0,1457.6,1.0,81781.0
Data/evidence patent count,1813,419.269,1877.135,0.0,1.0,5.0,65.0,276.0,0.0,19106.0
Data/evidence patent share,1813,0.253,0.246,0.0,0.056,0.225,0.333,0.5,0.0,1.0
Mean benchmark score,1813,0.182,0.179,0.005,0.062,0.157,0.229,0.349,0.0,0.999
Data/evidence patents per million,1733,24.983,155.243,0.0,0.003,0.621,5.643,26.011,0.0,2702.451
Data/evidence patents per trillion GDP,1700,379.83,1726.733,0.0,0.818,23.643,141.085,560.082,0.0,25375.097
Data/evidence patents per USD 1bn R&D,855,90.265,815.665,0.0,0.195,2.225,8.36,30.592,0.0,12926.692
Data.gouv privacy ordinal,1736,3.524,1.546,1.0,2.0,4.0,5.0,5.0,1.0,5.0
UNCTAD privacy law indicator,1813,0.913,0.282,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ECIPE cumulative measures,462,15.091,15.236,3.0,6.0,11.0,19.0,30.0,1.0,118.0
Internet users (%),1279,45.494,33.966,0.461,7.494,47.9,77.762,89.372,0.0,99.547
GDP per capita (const. USD),1700,31035.022,25219.008,4279.947,12400.263,27848.959,41511.426,58398.331,341.835,185582.756
