iso3c,total_data_patents,global_data_patent_share,avg_data_share,avg_data_patents_per_million,years_observed
USA,471611.0,0.62,0.268,24.378,70
JPN,184118.0,0.242,0.315,29.65,50
DEU,33613.0,0.044,0.281,7.859,54
NLD,13645.0,0.018,0.324,17.292,49
FRA,9360.0,0.012,0.243,2.839,55
CAN,6546.0,0.009,0.301,4.11,51
CHE,5702.0,0.008,0.307,14.83,52
SWE,5542.0,0.007,0.263,13.168,47
GBR,5519.0,0.007,0.251,1.719,54
TWN,5012.0,0.007,0.116,6.046,37
KOR,3231.0,0.004,0.205,1.976,34
ITA,2434.0,0.003,0.308,0.869,49
FIN,2217.0,0.003,0.242,8.987,48
ISR,1825.0,0.002,0.374,5.918,47
SGP,1322.0,0.002,0.206,8.64,31
