naics_code,total_patents,avg_data_share,avg_benchmark_score,years_observed
3222,1201.75,0.412,0.294,34
4481,2559.0,0.332,0.238,33
2111,1937.0,0.321,0.23,32
5223,1234.7083333333333,0.306,0.209,61
3149,1001.0416666666666,0.301,0.217,62
3365,4726.666666666665,0.278,0.204,89
3363,4603.833333333333,0.263,0.174,79
2389,3717.9999999999995,0.26,0.19,90
3362,5379.333333333333,0.256,0.171,79
3391,13096.25,0.253,0.193,82
2131,3830.999999999999,0.249,0.185,90
3345,25204.75,0.243,0.19,95
3399,7232.25,0.241,0.147,64
3369,1419.8333333333333,0.241,0.164,65
3329,11048.166666666666,0.236,0.181,101
2211,15936.5,0.231,0.167,99
3323,2632.5,0.223,0.159,104
2371,5396.833333333333,0.222,0.165,92
3334,2125.8333333333335,0.218,0.15,81
3339,9596.833333333332,0.216,0.156,104
