Variable,N,Mean,SD,P10,P25,Median,P75,P90,Min,Max
Total patents (weighted),7477,115.721,382.301,0.333,1.333,11.0,56.0,232.0,0.042,5872.333
Data/evidence patents (weighted),7477,26.049,86.488,0.0,0.0,0.25,9.833,58.333,0.0,1131.833
Data/evidence share,7477,0.168,0.214,0.0,0.0,0.077,0.304,0.48,0.0,1.0
Mean benchmark score,7477,0.122,0.154,0.002,0.002,0.062,0.208,0.339,0.0,1.0
Patent-weighted data.gouv privacy level exposure,5137,3.069,0.358,3.0,3.0,3.0,3.056,3.333,1.0,5.0
Patent-weighted UNCTAD privacy-law exposure share,5131,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.994,1.0
Patent-weighted ECIPE cumulative policy exposure,2491,15.572,9.82,5.0,7.0,14.0,23.165,28.015,1.0,108.423
Measurement-CPC share,5055,0.057,0.118,0.0,0.0,0.018,0.066,0.148,0.0,1.0
ML-CPC share,5055,0.024,0.089,0.0,0.0,0.0,0.012,0.049,0.0,1.0
Data-processing-CPC share,5055,0.162,0.251,0.0,0.0,0.01,0.276,0.598,0.0,1.0
